CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T08:48:54.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = BETA_ANGLE
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 4000.00000 -62.12090
58084 4010.00000 -62.12086
58084 4020.00000 -62.12082
58084 4030.00000 -62.12078
58084 4040.00000 -62.12074
58084 4050.00000 -62.12071
58084 4060.00000 -62.12068
58084 4070.00000 -62.12065
58084 4080.00000 -62.12062
58084 4090.00000 -62.12060
58084 4100.00000 -62.12058
58084 4110.00000 -62.12056
58084 4120.00000 -62.12055
58084 4130.00000 -62.12054
58084 4140.00000 -62.12053
58084 4150.00000 -62.12052
58084 4160.00000 -62.12051
58084 4170.00000 -62.12051
58084 4180.00000 -62.12051
58084 4190.00000 -62.12052
58084 4200.00000 -62.12052
58084 4210.00000 -62.12053
58084 4220.00000 -62.12054
58084 4230.00000 -62.12055
58084 4240.00000 -62.12057
58084 4250.00000 -62.12059
58084 4260.00000 -62.12061
58084 4270.00000 -62.12063
58084 4280.00000 -62.12066
58084 4290.00000 -62.12069
58084 4300.00000 -62.12072
58084 4310.00000 -62.12075
58084 4320.00000 -62.12079
58084 4330.00000 -62.12082
58084 4340.00000 -62.12086
58084 4350.00000 -62.12091
58084 4360.00000 -62.12095
58084 4370.00000 -62.12100
58084 4380.00000 -62.12104
58084 4390.00000 -62.12109
58084 4400.00000 -62.12115
58084 4410.00000 -62.12120
58084 4420.00000 -62.12126
58084 4430.00000 -62.12132
58084 4440.00000 -62.12138
58084 4450.00000 -62.12144
58084 4460.00000 -62.12150
58084 4470.00000 -62.12157
58084 4480.00000 -62.12164
58084 4490.00000 -62.12171
58084 4500.00000 -62.12178
58084 4510.00000 -62.12185
58084 4520.00000 -62.12192
58084 4530.00000 -62.12200
58084 4540.00000 -62.12208
58084 4550.00000 -62.12215
58084 4560.00000 -62.12223
58084 4570.00000 -62.12231
58084 4580.00000 -62.12240
58084 4590.00000 -62.12248
58084 4600.00000 -62.12256
58084 4610.00000 -62.12265
58084 4620.00000 -62.12274
58084 4630.00000 -62.12282
58084 4640.00000 -62.12291
58084 4650.00000 -62.12300
58084 4660.00000 -62.12309
58084 4670.00000 -62.12318
58084 4680.00000 -62.12327
58084 4690.00000 -62.12336
58084 4700.00000 -62.12345
58084 4710.00000 -62.12354
58084 4720.00000 -62.12364
58084 4730.00000 -62.12373
58084 4740.00000 -62.12382
58084 4750.00000 -62.12392
58084 4760.00000 -62.12401
58084 4770.00000 -62.12410
58084 4780.00000 -62.12420
58084 4790.00000 -62.12429
58084 4800.00000 -62.12438
58084 4810.00000 -62.12448
58084 4820.00000 -62.12457
58084 4830.00000 -62.12466
58084 4840.00000 -62.12476
58084 4850.00000 -62.12485
58084 4860.00000 -62.12494
58084 4870.00000 -62.12503
58084 4880.00000 -62.12512
58084 4890.00000 -62.12521
