CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T08:48:56.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), true_satellite_local_time (h)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_LOCAL_TIME
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 3840.00000 16.55598
58084 3850.00000 16.48112
58084 3860.00000 16.40015
58084 3870.00000 16.31236
58084 3880.00000 16.21691
58084 3890.00000 16.11287
58084 3900.00000 15.99916
58084 3910.00000 15.87458
58084 3920.00000 15.73775
58084 3930.00000 15.58713
58084 3940.00000 15.42104
58084 3950.00000 15.23764
58084 3960.00000 15.03501
58084 3970.00000 14.81123
58084 3980.00000 14.56453
58084 3990.00000 14.29352
58084 4000.00000 13.99748
58084 4010.00000 13.67673
58084 4020.00000 13.33303
58084 4030.00000 12.96984
58084 4040.00000 12.59236
58084 4050.00000 12.20731
58084 4060.00000 11.82226
58084 4070.00000 11.44478
58084 4080.00000 11.08159
58084 4090.00000 10.73789
58084 4100.00000 10.41714
58084 4110.00000 10.12110
58084 4120.00000 9.85009
58084 4130.00000 9.60339
58084 4140.00000 9.37961
58084 4150.00000 9.17698
58084 4160.00000 8.99358
58084 4170.00000 8.82749
58084 4180.00000 8.67687
58084 4190.00000 8.54004
58084 4200.00000 8.41546
58084 4210.00000 8.30175
58084 4220.00000 8.19771
58084 4230.00000 8.10226
58084 4240.00000 8.01447
58084 4250.00000 7.93350
58084 4260.00000 7.85864
58084 4270.00000 7.78926
58084 4280.00000 7.72480
58084 4290.00000 7.66477
58084 4300.00000 7.60875
58084 4310.00000 7.55635
58084 4320.00000 7.50723
58084 4330.00000 7.46111
58084 4340.00000 7.41771
58084 4350.00000 7.37681
58084 4360.00000 7.33818
58084 4370.00000 7.30165
58084 4380.00000 7.26704
58084 4390.00000 7.23421
58084 4400.00000 7.20301
58084 4410.00000 7.17333
58084 4420.00000 7.14505
58084 4430.00000 7.11806
58084 4440.00000 7.09229
58084 4450.00000 7.06764
58084 4460.00000 7.04404
58084 4470.00000 7.02142
58084 4480.00000 6.99971
58084 4490.00000 6.97886
58084 4500.00000 6.95881
58084 4510.00000 6.93952
58084 4520.00000 6.92093
58084 4530.00000 6.90301
58084 4540.00000 6.88571
58084 4550.00000 6.86900
58084 4560.00000 6.85285
58084 4570.00000 6.83723
58084 4580.00000 6.82210
58084 4590.00000 6.80744
58084 4600.00000 6.79323
58084 4610.00000 6.77944
58084 4620.00000 6.76605
58084 4630.00000 6.75304
58084 4640.00000 6.74039
58084 4650.00000 6.72809
58084 4660.00000 6.71611
58084 4670.00000 6.70444
58084 4680.00000 6.69307
58084 4690.00000 6.68198
58084 4700.00000 6.67115
58084 4710.00000 6.66059
58084 4720.00000 6.65027
58084 4730.00000 6.64018
58084 4740.00000 6.63032
58084 4750.00000 6.62067
58084 4760.00000 6.61123
58084 4770.00000 6.60198
58084 4780.00000 6.59292
58084 4790.00000 6.58404
58084 4800.00000 6.57533
58084 4810.00000 6.56679
58084 4820.00000 6.55840
58084 4830.00000 6.55017
58084 4840.00000 6.54208
58084 4850.00000 6.53413
58084 4860.00000 6.52631
58084 4870.00000 6.51863
58084 4880.00000 6.51106
58084 4890.00000 6.50362
58084 4900.00000 6.49629
58084 4910.00000 6.48907
58084 4920.00000 6.48195
58084 4930.00000 6.47493
58084 4940.00000 6.46802
58084 4950.00000 6.46119
58084 4960.00000 6.45446
58084 4970.00000 6.44781
58084 4980.00000 6.44124
58084 4990.00000 6.43475
58084 5000.00000 6.42834
58084 5010.00000 6.42201
58084 5020.00000 6.41574
58084 5030.00000 6.40954
58084 5040.00000 6.40341
58084 5050.00000 6.39734
58084 5060.00000 6.39133
58084 5070.00000 6.38537
58084 5080.00000 6.37947
58084 5090.00000 6.37363
58084 5100.00000 6.36783
