CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T10:58:02.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = EARTH_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 4770.00000 83.60949
58084 4780.00000 78.28998
58084 4790.00000 72.97087
58084 4800.00000 67.65894
58084 4810.00000 62.36203
58084 4820.00000 57.08977
58084 4830.00000 51.85473
58084 4840.00000 46.67417
58084 4850.00000 41.57299
58084 4860.00000 36.58881
58084 4870.00000 31.78113
58084 4880.00000 27.24794
58084 4890.00000 23.15555
58084 4900.00000 19.78408
58084 4910.00000 17.55847
58084 4920.00000 16.94071
58084 4930.00000 18.09955
58084 4940.00000 20.74182
58084 4950.00000 24.39195
58084 4960.00000 28.66886
58084 4970.00000 33.33315
58084 4980.00000 38.24406
58084 4990.00000 43.31831
58084 5000.00000 48.50500
58084 5010.00000 53.77183
58084 5020.00000 59.09745
58084 5030.00000 64.46730
58084 5040.00000 69.87105
58084 5050.00000 75.30121
58084 5060.00000 80.75213
58084 5070.00000 86.21944
58084 5080.00000 91.69963
58084 5090.00000 97.18980
58084 5100.00000 102.68739
58084 5110.00000 108.19005
58084 5120.00000 113.69546
58084 5130.00000 119.20112
58084 5140.00000 124.70416
58084 5150.00000 130.20093
58084 5160.00000 135.68646
58084 5170.00000 141.15341
58084 5180.00000 146.59009
58084 5190.00000 151.97624
58084 5200.00000 157.27304
58084 5210.00000 162.39647
58084 5220.00000 167.13380
58084 5230.00000 170.85861
58084 5240.00000 171.99761
58084 5250.00000 169.65468
58084 5260.00000 165.41966
58084 5270.00000 160.48661
58084 5280.00000 155.26886
58084 5290.00000 149.91350
58084 5300.00000 144.48224
58084 5310.00000 139.00485
58084 5320.00000 133.49737
58084 5330.00000 127.96913
58084 5340.00000 122.42596
58084 5350.00000 116.87168
58084 5360.00000 111.30891
58084 5370.00000 105.73951
58084 5380.00000 100.16484
58084 5390.00000 94.58595
58084 5400.00000 89.00365
58084 5410.00000 83.41856
58084 5420.00000 77.83124
58084 5430.00000 72.24213
58084 5440.00000 66.65164
58084 5450.00000 61.06013
58084 5460.00000 55.46799
58084 5470.00000 49.87562
58084 5480.00000 44.28348
58084 5490.00000 38.69218
58084 5500.00000 33.10263
58084 5510.00000 27.51630
58084 5520.00000 21.93604
58084 5530.00000 16.36835
58084 5540.00000 10.83282
58084 5550.00000 5.42856
58084 5560.00000 2.06708
58084 5570.00000 6.46120
58084 5580.00000 11.91102
58084 5590.00000 17.45343
58084 5600.00000 23.02094
58084 5610.00000 28.59817
58084 5620.00000 34.17964
58084 5630.00000 39.76282
58084 5640.00000 45.34630
58084 5650.00000 50.92916
58084 5660.00000 56.51070
58084 5670.00000 62.09032
58084 5680.00000 67.66747
58084 5690.00000 73.24154
58084 5700.00000 78.81189
58084 5710.00000 84.37778
58084 5720.00000 89.93834
58084 5730.00000 95.49247
58084 5740.00000 101.03886
58084 5750.00000 106.57577
58084 5760.00000 112.10099
58084 5770.00000 117.61151
58084 5780.00000 123.10325
58084 5790.00000 128.57040
58084 5800.00000 134.00450
58084 5810.00000 139.39267
58084 5820.00000 144.71437
58084 5830.00000 149.93497
58084 5840.00000 154.99202
58084 5850.00000 159.76382
58084 5860.00000 163.99507
58084 5870.00000 167.14321
58084 5880.00000 168.30188
58084 5890.00000 166.93401
58084 5900.00000 163.66526
58084 5910.00000 159.38327
58084 5920.00000 154.59773
58084 5930.00000 149.54738
58084 5940.00000 144.34679
58084 5950.00000 139.05538
58084 5960.00000 133.70655
58084 5970.00000 128.32047
58084 5980.00000 122.91016
58084 5990.00000 117.48455
58084 6000.00000 112.05021
58084 6010.00000 106.61225
58084 6020.00000 101.17499
58084 6030.00000 95.74234
58084 6040.00000 90.31812
58084 6050.00000 84.90636
58084 6060.00000 79.51156
58084 6070.00000 74.13900
58084 6080.00000 68.79522
58084 6090.00000 63.48853
58084 6100.00000 58.22995
58084 6110.00000 53.03444
58084 6120.00000 47.92298
58084 6130.00000 42.92589
58084 6140.00000 38.08829
58084 6150.00000 33.47916
58084 6160.00000 29.20640
58084 6170.00000 25.43916
58084 6180.00000 22.43221
58084 6190.00000 20.52062
58084 6200.00000 20.01828
58084 6210.00000 21.02376
58084 6220.00000 23.34015
58084 6230.00000 26.62457
58084 6240.00000 30.56359
58084 6250.00000 34.93348
58084 6260.00000 39.58872
58084 6270.00000 44.43654
58084 6280.00000 49.41695
58084 6290.00000 54.49005
58084 6300.00000 59.62839
58084 6310.00000 64.81230
58084 6320.00000 70.02712
58084 6330.00000 75.26135
58084 6340.00000 80.50550
58084 6350.00000 85.75122
58084 6360.00000 90.99068
58084 6370.00000 96.21605
58084 6380.00000 101.41893
58084 6390.00000 106.58984
58084 6400.00000 111.71747
58084 6410.00000 116.78784
58084 6420.00000 121.78297
58084 6430.00000 126.67911
58084 6440.00000 131.44407
58084 6450.00000 136.03325
58084 6460.00000 140.38393
58084 6470.00000 144.40729
58084 6480.00000 147.97887
58084 6490.00000 150.93121
58084 6500.00000 153.06005
58084 6510.00000 154.16166
58084 6520.00000 154.10575
58084 6530.00000 152.90114
58084 6540.00000 150.69111
58084 6550.00000 147.68362
58084 6560.00000 144.08098
58084 6570.00000 140.04668
58084 6580.00000 135.70155
58084 6590.00000 131.13172
58084 6600.00000 126.39821
58084 6610.00000 121.54467
58084 6620.00000 116.60295
58084 6630.00000 111.59691
58084 6640.00000 106.54500
58084 6650.00000 101.46208
58084 6660.00000 96.36064
58084 6670.00000 91.25178
58084 6680.00000 86.14595
58084 6690.00000 81.05363
58084 6700.00000 75.98597
58084 6710.00000 70.95553
58084 6720.00000 65.97719
58084 6730.00000 61.06930
58084 6740.00000 56.25529
58084 6750.00000 51.56591
58084 6760.00000 47.04247
58084 6770.00000 42.74128
58084 6780.00000 38.73966
58084 6790.00000 35.14292
